#Clinic,Clinic,#Doctor,Doctor,#Hospitalization reason,Hospitalization reason,#Follow up reason,Follow up reason
1,Région Ile de France,295,COHEN Yonathan,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,295,COHEN Yonathan,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,295,COHEN Yonathan,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,295,COHEN Yonathan,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,295,COHEN Yonathan,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,295,COHEN Yonathan,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,295,COHEN Yonathan,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,295,COHEN Yonathan,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,296,CORDA Morgane,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,296,CORDA Morgane,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,296,CORDA Morgane,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,296,CORDA Morgane,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,296,CORDA Morgane,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,296,CORDA Morgane,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,296,CORDA Morgane,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,296,CORDA Morgane,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,296,CORDA Morgane,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,296,CORDA Morgane,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,296,CORDA Morgane,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,296,CORDA Morgane,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,298,COUTON Charline,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,298,COUTON Charline,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,298,COUTON Charline,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,298,COUTON Charline,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,298,COUTON Charline,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,298,COUTON Charline,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,298,COUTON Charline,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,298,COUTON Charline,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,298,COUTON Charline,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,298,COUTON Charline,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,298,COUTON Charline,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,298,COUTON Charline,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,299,CUAU Samuel,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,299,CUAU Samuel,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,299,CUAU Samuel,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,299,CUAU Samuel,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,299,CUAU Samuel,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,299,CUAU Samuel,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,299,CUAU Samuel,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,299,CUAU Samuel,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,299,CUAU Samuel,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,299,CUAU Samuel,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,299,CUAU Samuel,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,299,CUAU Samuel,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,300,DA ROCHA MIRANDA Maria Claudia,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,302,DAMIEN ANGO Doreen,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,302,DAMIEN ANGO Doreen,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,302,DAMIEN ANGO Doreen,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,302,DAMIEN ANGO Doreen,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,302,DAMIEN ANGO Doreen,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,302,DAMIEN ANGO Doreen,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,302,DAMIEN ANGO Doreen,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,302,DAMIEN ANGO Doreen,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,302,DAMIEN ANGO Doreen,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,302,DAMIEN ANGO Doreen,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,302,DAMIEN ANGO Doreen,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,302,DAMIEN ANGO Doreen,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,303,DANG Christophe,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,303,DANG Christophe,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,303,DANG Christophe,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,303,DANG Christophe,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,303,DANG Christophe,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,303,DANG Christophe,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,303,DANG Christophe,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,303,DANG Christophe,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,303,DANG Christophe,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,303,DANG Christophe,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,303,DANG Christophe,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,303,DANG Christophe,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1066,Dr AARON Emmanuelle,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1066,Dr AARON Emmanuelle,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1066,Dr AARON Emmanuelle,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1066,Dr AARON Emmanuelle,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1066,Dr AARON Emmanuelle,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1066,Dr AARON Emmanuelle,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1066,Dr AARON Emmanuelle,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1066,Dr AARON Emmanuelle,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1066,Dr AARON Emmanuelle,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1066,Dr AARON Emmanuelle,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1066,Dr AARON Emmanuelle,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1066,Dr AARON Emmanuelle,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,184,Dr ABBAS Leila,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,184,Dr ABBAS Leila,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,184,Dr ABBAS Leila,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,184,Dr ABBAS Leila,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,184,Dr ABBAS Leila,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,184,Dr ABBAS Leila,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,184,Dr ABBAS Leila,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,184,Dr ABBAS Leila,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,184,Dr ABBAS Leila,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,184,Dr ABBAS Leila,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,184,Dr ABBAS Leila,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,184,Dr ABBAS Leila,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1834,Dr ABBOU Aziz,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1834,Dr ABBOU Aziz,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1834,Dr ABBOU Aziz,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1834,Dr ABBOU Aziz,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1834,Dr ABBOU Aziz,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1834,Dr ABBOU Aziz,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1834,Dr ABBOU Aziz,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1834,Dr ABBOU Aziz,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1834,Dr ABBOU Aziz,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1834,Dr ABBOU Aziz,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1834,Dr ABBOU Aziz,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1834,Dr ABBOU Aziz,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,322,Dr ABDEL AL Anas,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,322,Dr ABDEL AL Anas,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,322,Dr ABDEL AL Anas,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,322,Dr ABDEL AL Anas,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,322,Dr ABDEL AL Anas,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,322,Dr ABDEL AL Anas,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,322,Dr ABDEL AL Anas,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,322,Dr ABDEL AL Anas,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,322,Dr ABDEL AL Anas,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,322,Dr ABDEL AL Anas,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,322,Dr ABDEL AL Anas,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,322,Dr ABDEL AL Anas,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1067,Dr ABDEL WAHAB Hakim,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,623,Dr ABEL Anne,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,623,Dr ABEL Anne,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,623,Dr ABEL Anne,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,623,Dr ABEL Anne,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,623,Dr ABEL Anne,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,623,Dr ABEL Anne,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,623,Dr ABEL Anne,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,623,Dr ABEL Anne,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,623,Dr ABEL Anne,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,623,Dr ABEL Anne,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,623,Dr ABEL Anne,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,623,Dr ABEL Anne,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1305,Dr ABGRALL Sophie,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1305,Dr ABGRALL Sophie,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1305,Dr ABGRALL Sophie,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1305,Dr ABGRALL Sophie,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1305,Dr ABGRALL Sophie,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1305,Dr ABGRALL Sophie,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1305,Dr ABGRALL Sophie,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1305,Dr ABGRALL Sophie,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1305,Dr ABGRALL Sophie,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1305,Dr ABGRALL Sophie,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1305,Dr ABGRALL Sophie,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1305,Dr ABGRALL Sophie,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,429,Dr ABISROR Noemie,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,429,Dr ABISROR Noemie,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,429,Dr ABISROR Noemie,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,429,Dr ABISROR Noemie,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,429,Dr ABISROR Noemie,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,429,Dr ABISROR Noemie,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,429,Dr ABISROR Noemie,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,429,Dr ABISROR Noemie,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,429,Dr ABISROR Noemie,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,429,Dr ABISROR Noemie,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,429,Dr ABISROR Noemie,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,429,Dr ABISROR Noemie,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,324,Dr ADDOU Beghdad,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,324,Dr ADDOU Beghdad,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,324,Dr ADDOU Beghdad,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,324,Dr ADDOU Beghdad,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,324,Dr ADDOU Beghdad,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,324,Dr ADDOU Beghdad,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,324,Dr ADDOU Beghdad,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,324,Dr ADDOU Beghdad,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,324,Dr ADDOU Beghdad,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,324,Dr ADDOU Beghdad,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,324,Dr ADDOU Beghdad,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,324,Dr ADDOU Beghdad,3,Vu en consultation à l'hôpital,3,Suivi prolongé
1,Région Ile de France,1783,Dr ADDOU Sarah,1,Consultant SAMU,2,Patient sans facteur de risque
1,Région Ile de France,1783,Dr ADDOU Sarah,1,Consultant SAMU,1,Patient à risque
1,Région Ile de France,1783,Dr ADDOU Sarah,1,Consultant SAMU,3,Suivi prolongé
1,Région Ile de France,1783,Dr ADDOU Sarah,2,En sortie d'hospitalisation,2,Patient sans facteur de risque
1,Région Ile de France,1783,Dr ADDOU Sarah,2,En sortie d'hospitalisation,1,Patient à risque
1,Région Ile de France,1783,Dr ADDOU Sarah,2,En sortie d'hospitalisation,3,Suivi prolongé
1,Région Ile de France,1783,Dr ADDOU Sarah,4,Vu en consultation en ville,2,Patient sans facteur de risque
1,Région Ile de France,1783,Dr ADDOU Sarah,4,Vu en consultation en ville,1,Patient à risque
1,Région Ile de France,1783,Dr ADDOU Sarah,4,Vu en consultation en ville,3,Suivi prolongé
1,Région Ile de France,1783,Dr ADDOU Sarah,3,Vu en consultation à l'hôpital,2,Patient sans facteur de risque
1,Région Ile de France,1783,Dr ADDOU Sarah,3,Vu en consultation à l'hôpital,1,Patient à risque
1,Région Ile de France,1783,Dr ADDOU Sarah,3,Vu en consultation à l'hôpital,3,Suivi prolongé
